Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
13,116,RL,,5818,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,NoRidge,Norm,Norm,2fmCon,2Story,5,6,1911,1991,Gable,CompShg,Wd Sdng,Wd Sdng,None,-39.94481303520482,Fa,TA,PConc,Gd,Fa,No,BLQ,77,Unf,26,273,633,GasA,Gd,Y,SBrkr,920,878,6,1756,0,0,2,0,3,1,TA,5,Min2,0,TA,Attchd,1946.3374734473055,RFn,2,296,TA,TA,Y,274,49,6,-5,-12,-15,,,,13,6,2007,WD,Normal,141367
14,96,RL,,19385,Pave,,IR1,Low,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,1Story,7,5,1990,2013,Gable,CompShg,HdBoard,HdBoard,BrkFace,178.96588603740054,Gd,TA,PConc,Gd,TA,Av,GLQ,750,Rec,181,311,1313,GasA,Ex,Y,SBrkr,1797,78,-6,1819,1,0,1,1,3,1,Gd,7,Typ,1,TA,Attchd,2007.6735184758647,Unf,3,1043,TA,TA,Y,239,19,1,2,-9,-7,,,,-26,12,2006,WD,Normal,324638
15,21,RL,,22476,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,5,5,1970,1996,Gable,CompShg,HdBoard,HdBoard,None,2.245688766831343,TA,TA,CBlock,TA,TA,No,BLQ,566,Unf,-22,663,1113,GasA,Gd,Y,SBrkr,1225,1038,-4,2045,0,0,2,0,4,1,TA,9,Min1,1,TA,Attchd,1960.8841373502044,Unf,2,484,TA,TA,Y,194,38,5,-5,-7,2,,,,512,9,2010,WD,Normal,220837
16,73,RL,,7566,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,8,5,2009,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,84.06970091044661,Gd,TA,PConc,Gd,TA,No,ALQ,-42,Unf,39,710,1081,GasA,Ex,Y,SBrkr,1256,51,-12,1489,1,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2005.223513871427,Fin,2,546,TA,TA,Y,21,88,0,-1,-14,-13,,,,-130,11,2008,WD,Normal,220178
17,9,RL,76.60207612288396,6205,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,1Story,5,5,1994,1983,Gable,CompShg,MetalSd,MetalSd,BrkFace,65.72619749898817,TA,TA,PConc,Gd,TA,No,GLQ,1010,Unf,19,5,881,GasA,TA,Y,SBrkr,1002,24,-3,1175,1,0,2,0,4,1,Gd,6,Typ,0,,Attchd,1961.1873738702914,RFn,2,604,TA,TA,Y,-23,3,35,-3,-9,0,,MnPrv,,166,13,2008,WD,Normal,131173
18,29,RL,85.11762926651335,13243,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,PosN,Norm,1Fam,2Story,7,7,1916,1973,Gable,CompShg,Wd Sdng,Wd Sdng,None,-7.68135607881322,TA,TA,CBlock,Gd,TA,No,ALQ,337,Unf,31,450,1049,GasA,Ex,Y,SBrkr,1547,858,23,2191,0,0,2,1,5,1,TA,7,Typ,1,,Detchd,1967.1914776954677,Unf,2,777,TA,TA,Y,47,77,230,5,14,3,,MnPrv,Shed,166,6,2009,WD,Normal,247903
19,26,RM,71.09685421454621,7157,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,6,1979,1981,Gable,CompShg,VinylSd,VinylSd,None,140.84113971388152,TA,TA,CBlock,,Gd,No,ALQ,-46,Unf,18,444,824,GasA,TA,Y,SBrkr,909,972,-3,1371,0,1,2,0,4,1,TA,7,Typ,0,,Detchd,1975.8888971230922,Unf,2,430,Fa,TA,Y,256,8,-17,0,-19,-5,,,,79,7,2007,WD,Normal,87838
20,14,RL,67.18661149323167,8952,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,6,1973,1999,Gable,CompShg,HdBoard,Plywood,None,-62.03776368744693,TA,TA,CBlock,TA,Gd,No,ALQ,-50,BLQ,218,640,854,GasA,Ex,Y,SBrkr,1059,26,2,1160,0,0,1,0,3,1,TA,6,Typ,0,Gd,Detchd,1979.692758943663,Unf,1,314,Po,TA,Y,-1,24,-7,2,-6,0,,GdPrv,,-5,11,2006,WD,Normal,123396
21,59,RL,80.26185219628798,12758,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,9,1978,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,34.54177573736528,TA,TA,PConc,Ex,TA,Gd,GLQ,973,Unf,-53,99,796,GasA,TA,Y,SBrkr,1428,783,11,1905,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,1996.437603412754,Fin,2,534,Gd,Fa,Y,29,63,34,16,-6,-5,,MnPrv,Shed,454,7,2009,WD,Normal,239266
22,27,RL,54.40933506738013,5976,Pave,,IR1,HLS,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1992,2000,Gable,CompShg,MetalSd,MetalSd,None,136.88887681506753,TA,TA,PConc,TA,TA,No,GLQ,980,Unf,30,360,1389,GasA,TA,Y,SBrkr,1398,18,2,1643,0,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2000.7025259516972,Unf,2,622,TA,TA,Y,109,8,-24,-4,-7,-4,,,,-84,6,2007,WD,Normal,214596
23,185,RL,80.68344558480244,12418,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Edwards,PosA,Norm,Twnhs,2Story,6,5,1996,1977,Gable,Tar&Grv,HdBoard,MetalSd,None,6.660419408707135,TA,TA,PConc,Gd,TA,Gd,GLQ,1297,Unf,-17,72,1176,GasA,TA,Y,SBrkr,1595,838,-13,2405,2,0,2,1,4,1,TA,9,Typ,1,Gd,Attchd,1994.5240617839504,Fin,2,442,TA,TA,Y,4,-1,3,-3,166,5,,,,147,2,2006,WD,Normal,200757
24,47,RM,,-8093,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,Twnhs,2Story,7,7,1972,2009,Gable,CompShg,VinylSd,VinylSd,None,-22.365753959815454,TA,TA,PConc,Gd,Fa,No,Unf,-226,Unf,-1,1021,810,GasA,Ex,Y,SBrkr,752,759,6,1373,0,0,2,0,3,1,Gd,6,Mod,0,,BuiltIn,2003.537798129276,Unf,1,253,TA,TA,Y,287,-18,6,10,3,-10,,MnPrv,,61,6,2010,WD,Normal,115246
25,37,RL,62.96013821836752,6939,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,9,1951,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,87.14472930869097,TA,TA,CBlock,TA,TA,Gd,BLQ,963,Unf,-57,103,751,GasA,Gd,Y,SBrkr,829,9,-3,915,1,0,1,0,3,1,Gd,6,Typ,0,,Attchd,1984.0549301470733,Unf,2,469,TA,TA,Y,-3,23,-15,7,11,0,,,,216,5,2009,WD,Normal,120705
26,128,RL,72.96842069778778,8693,Pave,,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,None,46.27297921116325,TA,TA,PConc,Gd,TA,No,Unf,-249,Rec,634,504,731,GasA,Ex,Y,SBrkr,765,995,14,1691,0,0,2,0,4,1,Gd,8,Typ,0,TA,Detchd,1997.7042755865236,Fin,2,573,TA,TA,Y,166,0,0,6,34,5,,,,128,7,2009,New,Partial,181810
27,62,RL,63.78561532438703,10080,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,SLvl,5,5,1929,1984,Hip,CompShg,Wd Sdng,Wd Sdng,None,-1.3846891364050535,TA,TA,BrkTil,TA,Fa,No,Unf,462,LwQ,-2,417,880,GasA,Gd,Y,SBrkr,1176,-41,4,1265,0,0,1,0,2,1,TA,6,Typ,2,Gd,Detchd,1991.2931775226953,Unf,1,385,TA,TA,Y,-34,32,10,-1,1,5,,,,-9,9,2006,WD,Normal,109012
28,60,RM,68.21612368623661,13062,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,7,3,1986,1994,Gable,CompShg,VinylSd,VinylSd,None,-19.633251092622256,Gd,TA,PConc,Fa,,Mn,GLQ,811,Unf,-11,154,945,GasA,Fa,Y,SBrkr,1138,28,-5,1411,0,1,2,0,2,1,Ex,6,Typ,0,Gd,,1977.910457275925,Fin,2,503,,Fa,Y,177,-10,2,-4,-5,-13,,,,51,5,2007,New,Partial,182752
29,54,RM,70.85976992074279,5768,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,6,5,1970,1968,Gable,CompShg,VinylSd,AsbShng,Stone,111.10930725146054,TA,TA,PConc,Gd,TA,No,Unf,123,Unf,-65,127,-73,GasA,Ex,Y,SBrkr,628,1338,-12,1539,0,0,2,0,4,1,Gd,8,Typ,0,,BuiltIn,2000.511161578789,RFn,2,456,TA,,Y,-60,227,118,-12,18,7,,,,-80,8,2009,WD,Normal,131809
30,17,RL,62.24438561357129,11028,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,1955,1997,Gable,CompShg,VinylSd,VinylSd,None,6.345875712970812,TA,Gd,BrkTil,Gd,TA,No,BLQ,1008,Unf,-29,272,1176,GasA,Ex,Y,SBrkr,1547,-9,4,1419,0,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,1956.5224033804625,Unf,1,341,TA,TA,Y,77,114,2,-5,1,-1,,,,59,7,2007,WD,Normal,167613
31,-3,RL,74.55259204382713,8978,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,7,1911,1986,Hip,CompShg,Wd Sdng,MetalSd,None,91.0684402101989,TA,TA,CBlock,TA,TA,No,Rec,227,Unf,46,801,1047,GasA,Gd,Y,SBrkr,1100,-103,12,1012,0,0,1,0,2,1,Gd,5,Typ,0,,Attchd,1959.0937566410564,Fin,1,400,TA,TA,Y,172,11,28,0,-3,2,,,,92,8,2008,WD,Normal,106883
32,12,RL,71.24988791385915,10928,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,7,7,1955,2004,Gable,CompShg,HdBoard,HdBoard,None,-29.29279812593391,TA,Gd,CBlock,Gd,Gd,No,GLQ,1155,Unf,22,-81,791,GasA,Fa,Y,SBrkr,816,611,212,1394,1,0,1,0,4,1,Gd,5,Typ,1,TA,,,,0,190,,,P,388,10,11,-8,-17,-12,,,,-44,7,2010,ConLD,Abnorml,174691
33,45,RL,77.42660954052279,11334,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,6,2011,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,293.3229694683231,Ex,TA,PConc,Ex,TA,Av,GLQ,833,Unf,-47,1084,1629,GasA,TA,Y,SBrkr,1403,-29,-18,1260,0,0,2,1,3,1,TA,8,Typ,1,Fa,Attchd,2012.6448251117365,RFn,3,718,TA,TA,Y,25,-23,-11,-3,131,-8,,,,6,4,2007,New,Normal,263538
34,158,RL,67.43261311571536,7337,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,5,6,1999,2011,Gable,CompShg,VinylSd,VinylSd,None,50.894470286679734,TA,TA,CBlock,Gd,Gd,No,Unf,386,Unf,-26,235,596,GasA,Gd,Y,SBrkr,650,204,-11,960,0,0,2,0,2,1,Gd,5,Typ,1,TA,BuiltIn,1979.9149582416903,RFn,2,405,TA,TA,Y,81,0,-3,10,-5,0,,,,93,4,2008,WD,Normal,130176
35,35,RM,50.85686616088159,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2017,2015,Gable,CompShg,VinylSd,VinylSd,BrkFace,214.09429321423642,Gd,TA,PConc,Gd,TA,No,GLQ,982,Unf,-36,481,1183,GasA,Ex,Y,SBrkr,969,880,-20,1590,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2009.3756746474253,Unf,2,716,TA,TA,Y,-12,240,-6,-8,26,-2,,GdPrv,,214,8,2006,WD,Normal,286306
36,37,RL,63.41793264009768,3384,Pave,,IR1,Low,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,5,5,1978,1968,Gable,CompShg,Plywood,MetalSd,Stone,288.5532274554519,Gd,TA,CBlock,TA,TA,Mn,BLQ,605,Unf,-35,241,848,GasA,Ex,Y,SBrkr,982,-70,3,917,0,0,1,0,2,1,Gd,4,Typ,0,,Attchd,1995.853292553291,RFn,1,401,TA,TA,Y,-25,39,213,0,-18,-5,,,,-146,6,2009,WD,Normal,125577
37,19,RL,68.00694372813868,8538,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,7,1913,1988,Gable,CompShg,MetalSd,Wd Shng,None,-7.70408948754986,TA,Gd,BrkTil,TA,TA,Mn,Rec,413,Unf,24,81,704,GasA,Fa,Y,SBrkr,871,180,4,1066,0,0,2,0,4,1,Gd,6,Typ,0,Gd,,,,0,-56,,,Y,-37,9,0,0,1,11,,GdPrv,,-179,4,2006,WD,Abnorml,117880
38,46,RL,61.534753202879315,8407,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Artery,Norm,Duplex,1Story,8,6,1996,2010,Gable,CompShg,VinylSd,Plywood,BrkFace,55.8108459464508,Gd,TA,PConc,Gd,TA,No,Unf,398,Unf,-35,533,1130,GasA,Ex,Y,SBrkr,1165,14,7,1350,0,0,1,0,3,1,Gd,6,Typ,0,Gd,Attchd,2007.2787194545729,Fin,2,489,TA,TA,Y,204,11,-19,-6,-18,-6,,MnPrv,,11,5,2008,New,Partial,196362
39,65,RL,71.04263454386832,7366,Pave,,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,8,1916,1985,Gable,CompShg,VinylSd,VinylSd,None,140.81231230810528,TA,TA,BrkTil,Gd,TA,No,Rec,128,Unf,13,251,501,GasA,Gd,Y,,895,1099,-21,1684,0,1,2,0,4,1,TA,7,Maj2,1,,Detchd,1940.1090048246479,Unf,1,220,TA,TA,Y,6,-12,38,-4,-18,-3,,,,99,6,2007,WD,Normal,127129
40,67,RL,69.51755305213383,10452,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,5,1957,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,231.70214009607017,TA,TA,BrkTil,Gd,TA,No,Unf,485,Unf,-77,1206,1472,GasA,TA,Y,SBrkr,1629,-10,-1,1589,0,0,2,0,3,1,TA,7,Typ,0,,Detchd,1945.6664936700256,Unf,2,368,Fa,TA,Y,159,-20,3,9,-2,-1,,MnPrv,,166,10,2007,New,Partial,197843
41,51,RL,65.00587263035544,9310,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,6,8,1925,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.7895093388079599,TA,Gd,PConc,TA,TA,No,GLQ,282,Unf,-1,646,878,GasA,Ex,Y,SBrkr,857,308,8,1379,0,0,1,0,3,1,TA,4,Typ,1,Gd,Attchd,1963.6827253229196,Unf,2,372,TA,TA,Y,16,32,109,-7,-3,-1,,MnPrv,,28,7,2009,WD,Normal,181799
42,180,RM,62.13477221324756,-4586,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Feedr,Norm,TwnhsE,1Story,6,5,1998,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,464.23432222465254,TA,TA,BrkTil,Gd,TA,Gd,GLQ,787,Unf,1,85,891,GasA,Fa,Y,SBrkr,1010,677,-6,1431,0,0,2,1,3,1,TA,5,Typ,0,TA,Attchd,2004.5993876455918,RFn,3,764,TA,TA,Y,142,87,17,15,3,-2,,GdWo,,219,3,2006,WD,Normal,167426
43,33,RL,58.899569186528936,754,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,2002,1997,Hip,CompShg,VinylSd,Plywood,BrkFace,212.73242012518276,TA,TA,CBlock,TA,TA,No,GLQ,1239,Unf,-40,-4,873,GasA,Ex,Y,SBrkr,933,-33,-13,1078,1,0,2,0,1,1,TA,4,Typ,0,TA,Attchd,1979.3940824935148,RFn,2,369,TA,TA,Y,-31,63,8,6,0,-20,,,,-122,7,2011,WD,Normal,143639
44,28,RL,74.56188908514912,21281,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,1Fam,2Story,6,5,1951,1954,Gable,CompShg,HdBoard,HdBoard,None,-11.407540680479993,TA,TA,CBlock,TA,TA,Av,BLQ,951,Unf,57,134,1368,GasA,Gd,Y,SBrkr,1582,-1,-24,1468,1,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1937.3320052549277,RFn,2,552,TA,TA,Y,623,6,-1,2,-12,-7,,,,-99,10,2007,WD,Normal,203057
45,42,RM,53.154635725050305,7572,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,6,5,1961,1995,Gable,CompShg,VinylSd,Wd Shng,Stone,54.8401228552739,TA,TA,BrkTil,Gd,TA,Mn,GLQ,981,Unf,-9,-90,626,GasA,Ex,Y,SBrkr,1030,-40,0,1115,1,0,2,0,2,1,TA,5,Typ,2,TA,Detchd,1951.2850957444105,Fin,2,265,TA,TA,Y,462,-38,17,-5,-18,-6,,,,23,5,2008,WD,Abnorml,143542
46,65,RL,,7950,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1960,2003,Gable,CompShg,MetalSd,VinylSd,None,-11.115124446487357,TA,Gd,PConc,Gd,TA,No,GLQ,1232,Unf,-39,153,1129,GasA,Ex,Y,SBrkr,981,744,5,1535,1,0,2,0,2,1,Gd,5,Typ,0,Ex,Attchd,1993.5062593457899,Fin,1,246,TA,TA,Y,15,39,-1,-8,5,11,,,,46,4,2007,WD,Partial,149621
