Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,67,RM,75.98214201946512,8919,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1949,1960,Hip,CompShg,VinylSd,Wd Sdng,None,79.18672347601863,Fa,TA,Slab,Ex,TA,No,Unf,-190,Unf,-12,1083,775,GasA,Ex,Y,FuseA,778,844,3,1790,0,0,2,0,3,1,Ex,9,Typ,1,Gd,Detchd,1946.8847594956603,Unf,2,415,TA,TA,N,30,-30,263,-2,2,0,,,Othr,26,0,2011,New,Normal,136915
12,2,RL,125.24244985713904,15484,Pave,,Reg,Bnk,AllPub,Inside,Mod,NAmes,Artery,Norm,1Fam,1Story,6,5,1997,1994,Gable,CompShg,VinylSd,VinylSd,BrkFace,488.03690562830667,Gd,TA,PConc,Ex,TA,Gd,GLQ,257,,61,861,1337,GasA,Fa,Y,FuseA,1801,-140,9,1384,0,0,2,0,3,1,Ex,7,Typ,0,Gd,Attchd,1995.6484674469455,Fin,2,525,TA,TA,Y,-25,23,15,1,20,13,,,,65,1,2006,WD,Normal,211457
13,31,RL,81.31146751972429,12277,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,9,5,2011,2005,Gable,CompShg,VinylSd,VinylSd,None,-11.250737929078381,Gd,Gd,PConc,Gd,TA,No,GLQ,876,Unf,57,502,1798,GasA,Gd,Y,SBrkr,1869,112,1,1979,1,0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,2002.8647120464823,Fin,2,524,TA,TA,Y,653,114,-4,8,-19,-1,,MnPrv,,-90,8,2008,WD,Normal,382163
14,57,RL,63.474990873535695,8729,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,7,4,2014,1996,Gable,CompShg,MetalSd,HdBoard,BrkFace,223.27833909999302,Gd,TA,PConc,Gd,TA,Gd,GLQ,533,Unf,-11,603,1276,GasA,Ex,Y,SBrkr,1267,-34,-16,1201,0,1,2,1,3,1,TA,5,Typ,1,TA,Attchd,2002.834935169342,Fin,2,441,TA,TA,Y,635,53,-7,1,-5,7,,,,-149,7,2007,WD,Abnorml,222100
15,159,RM,36.238362350508886,6192,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,TwnhsE,1.5Fin,5,5,1985,1992,Gable,CompShg,VinylSd,VinylSd,BrkFace,68.91637335665395,TA,TA,BrkTil,,,,,-120,,34,554,789,GasA,TA,Y,SBrkr,966,-3,-9,1069,0,0,1,0,1,1,TA,5,Typ,0,,Detchd,1974.7701242553492,Unf,3,469,TA,TA,Y,29,21,0,-7,-4,-12,,,,-130,10,2008,WD,Normal,113318
16,45,RL,97.71214330030881,11297,Pave,,IR2,Bnk,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,155.05719685417597,Gd,TA,PConc,Gd,TA,Av,GLQ,303,Unf,-28,738,1258,GasA,Ex,Y,SBrkr,1338,92,-3,1531,1,0,2,0,3,1,Gd,7,Typ,0,Gd,Detchd,2004.3361331968865,RFn,3,742,TA,TA,Y,0,38,-8,-12,22,-5,,,,-75,10,2006,WD,Normal,236104
17,62,RL,,7169,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7,1987,2001,Gable,CompShg,VinylSd,Brk Cmn,None,39.94343693513002,TA,TA,PConc,TA,TA,Mn,BLQ,511,Unf,-25,203,732,GasA,TA,Y,SBrkr,1077,248,-18,1542,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,1988.5046296656524,Unf,3,716,TA,TA,Y,394,25,10,-12,-16,-5,,,,-269,6,2006,WD,Normal,184134
18,28,RL,73.31676369259442,12821,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Artery,Norm,1Fam,2Story,5,5,1956,1947,Gable,CompShg,Wd Sdng,HdBoard,None,-33.98960895517484,TA,TA,CBlock,Gd,TA,Av,Unf,555,ALQ,43,-19,637,GasA,Ex,Y,SBrkr,903,151,8,1360,0,1,1,1,4,1,TA,8,Typ,1,TA,Attchd,1968.7167132868667,Fin,2,452,TA,TA,Y,123,77,2,-5,6,4,,GdWo,,174,6,2006,WD,Normal,144620
19,36,RM,,9114,Pave,,Reg,Lvl,AllPub,CulDSac,Mod,Crawfor,Norm,Norm,1Fam,1Story,6,8,2003,2006,Hip,CompShg,VinylSd,VinylSd,Stone,551.2156537000449,TA,TA,CBlock,Gd,TA,No,Unf,496,Unf,-32,323,861,GasA,Ex,Y,SBrkr,1147,34,-4,1500,0,0,2,0,3,1,TA,7,Typ,0,Gd,Attchd,1996.2587141671681,Fin,2,390,TA,TA,Y,91,-29,7,0,-13,-10,,,,-54,8,2009,WD,Alloca,204352
20,37,RL,,11160,Pave,,IR1,Low,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1.5Fin,8,7,1979,1990,Gable,CompShg,MetalSd,VinylSd,BrkFace,67.49377326758706,Gd,Gd,PConc,TA,TA,Mn,GLQ,1059,Unf,-23,285,1280,GasA,Ex,Y,SBrkr,1236,704,-3,1998,1,0,2,0,3,1,Gd,5,Typ,0,,Attchd,1994.2676418684039,Fin,2,616,TA,TA,Y,163,17,-16,-10,0,-2,,,,-131,9,2007,WD,Normal,286959
21,76,RL,59.09863444046284,8425,Pave,,IR1,Low,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2016,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,204.22054513255932,Gd,TA,PConc,Gd,TA,Gd,GLQ,1563,BLQ,23,174,1926,GasA,Ex,Y,SBrkr,1785,-27,-9,1774,2,0,2,0,2,1,TA,6,Typ,1,TA,Attchd,2013.2604216321913,RFn,2,760,TA,TA,Y,250,87,-10,151,-13,8,,,,67,7,2009,WD,Normal,271541
22,56,RL,60.01628850695646,8428,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2012,1992,Gable,CompShg,VinylSd,VinylSd,BrkFace,97.84806161885336,TA,TA,CBlock,Gd,TA,Av,GLQ,1649,Unf,-72,495,1871,GasA,Ex,Y,FuseA,1124,-57,-22,960,1,0,1,0,1,1,TA,4,Typ,1,TA,Attchd,2005.7368866918046,RFn,2,606,TA,TA,Y,28,58,4,-1,-9,11,,,,-29,7,2006,WD,Normal,252537
23,97,RL,,11265,Pave,,Reg,Low,AllPub,Inside,Gtl,Gilbert,Artery,Norm,Duplex,1.5Fin,6,5,1960,1988,Gable,Tar&Grv,BrkFace,MetalSd,BrkFace,285.4685987468277,TA,TA,CBlock,Gd,TA,Gd,GLQ,733,Unf,-7,82,737,GasA,Gd,Y,FuseA,1075,583,4,1572,1,0,1,0,3,1,Gd,7,Typ,0,,Attchd,1973.6530708171058,Unf,0,166,TA,TA,Y,12,8,11,-11,13,11,,,,-74,8,2007,WD,Abnorml,136387
24,52,RL,,14778,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,6,1919,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,,TA,TA,BrkTil,TA,TA,No,ALQ,-42,Unf,44,718,802,GasA,Fa,Y,SBrkr,742,1252,7,1715,0,0,2,0,5,1,TA,8,Typ,1,TA,Detchd,1916.5684926812476,Unf,2,469,TA,TA,Y,-21,16,23,-12,9,-14,,,,-28,4,2010,WD,Normal,169268
25,79,RL,65.08490065932806,10212,Pave,,IR3,Bnk,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1975,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,71.19177407757563,Gd,TA,BrkTil,TA,TA,No,Unf,305,Unf,-60,724,687,GasA,Ex,Y,SBrkr,870,639,16,1654,0,0,1,1,3,1,Ex,9,Typ,0,Gd,Attchd,1982.404802171194,Fin,2,501,,TA,Y,22,-34,5,-5,22,6,,,,-203,7,2008,WD,Normal,146942
26,171,RL,22.541393924929704,-870,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,Twnhs,2Story,5,7,1915,1969,Gable,CompShg,MetalSd,MetalSd,None,36.255645832990574,TA,Gd,CBlock,TA,TA,Av,Unf,-28,Unf,150,566,772,GasA,TA,Y,SBrkr,842,719,33,1369,0,0,2,0,3,1,TA,6,Typ,0,Gd,Detchd,1967.2552400431618,Unf,2,459,TA,TA,Y,5,15,14,-8,-10,8,,MnPrv,,-16,7,2006,WD,Normal,127202
27,61,RL,60.82864937846892,9578,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,7,4,1981,1996,Gable,CompShg,VinylSd,VinylSd,None,139.1951889558732,TA,TA,PConc,Ex,TA,Av,GLQ,217,Unf,5,1298,1416,GasA,Fa,Y,SBrkr,1293,6,6,1411,1,0,2,0,3,1,Ex,7,Typ,1,,BuiltIn,1981.7062736217335,RFn,1,173,TA,TA,Y,58,31,-18,-4,-9,-6,,,,-48,2,2009,WD,Abnorml,148988
28,19,RL,,5552,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1997,1968,Gable,CompShg,VinylSd,VinylSd,None,36.77229029035114,Gd,TA,CBlock,TA,TA,No,GLQ,724,Unf,15,472,1354,GasA,Ex,Y,SBrkr,947,-58,11,941,1,0,1,1,2,1,TA,4,Typ,0,Gd,Attchd,1980.0446574181979,Fin,2,533,TA,TA,Y,71,18,-15,-5,11,0,,,,-160,6,2007,WD,Normal,118618
29,162,RL,79.00459098330563,9082,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Artery,Norm,1Fam,SLvl,8,5,2007,2001,Hip,CompShg,VinylSd,VinylSd,BrkFace,317.93320906089406,Gd,TA,CBlock,Gd,TA,No,Unf,239,Unf,-13,487,706,GasA,Ex,Y,SBrkr,951,713,-22,1710,0,0,2,1,3,1,Ex,6,Typ,1,TA,BuiltIn,2000.5512962455307,RFn,2,527,TA,TA,Y,-20,10,-10,4,259,11,,MnPrv,,-64,4,2009,WD,Abnorml,182524
30,96,RM,43.22851526843843,7462,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,2002,Gable,CompShg,VinylSd,VinylSd,None,70.44302441826959,Gd,TA,PConc,Gd,TA,No,GLQ,721,Unf,-46,584,882,GasA,TA,Y,SBrkr,815,811,1,1664,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2002.0243685492735,Fin,1,307,TA,TA,Y,-50,119,-6,-1,-6,-6,,,,-78,3,2007,WD,Normal,201558
31,20,RM,63.45173250218508,7114,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1917,1972,Hip,CompShg,VinylSd,VinylSd,None,41.25378263190956,TA,Fa,BrkTil,TA,TA,No,GLQ,835,Unf,56,740,1537,OthW,Ex,N,SBrkr,1522,-2,-6,1537,0,1,1,0,3,1,TA,7,Typ,1,Gd,Detchd,1935.0845365416296,Fin,2,342,TA,TA,Y,126,35,61,-6,9,9,,,,-13,6,2007,WD,Normal,145860
32,54,RL,67.53528339941798,12117,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1997,2001,Hip,CompShg,Wd Sdng,VinylSd,BrkFace,238.56777564318497,Gd,TA,CBlock,TA,TA,No,Unf,1110,Unf,70,115,1325,GasA,Ex,Y,SBrkr,914,138,28,1491,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001.9021702487391,RFn,2,647,TA,TA,Y,11,46,212,-2,-14,-3,,,,105,10,2009,WD,Normal,185016
33,61,RM,37.9569594135866,-59100,Pave,,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,5,1916,1948,Gable,CompShg,CemntBd,VinylSd,None,17.850042351779226,TA,TA,BrkTil,TA,TA,No,LwQ,-343,Unf,30,389,576,GasA,TA,N,FuseF,615,-121,-2,504,0,0,1,0,2,1,TA,4,Typ,0,,Detchd,1951.5712549095003,Unf,0,-7,,,N,-83,-37,29,4,-6,0,,MnPrv,,33,1,2008,WD,Normal,27033
34,22,RL,71.84781111178962,6568,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,1996,1999,Hip,CompShg,MetalSd,MetalSd,BrkFace,1211.0569907249253,Gd,TA,PConc,Ex,TA,Mn,GLQ,874,GLQ,9,641,1610,GasA,Ex,Y,SBrkr,1710,-73,-17,1393,1,0,1,1,0,1,Gd,4,Typ,1,Gd,Attchd,1999.0292779164547,RFn,3,964,TA,TA,Y,1,57,-4,8,3,-14,,,,59,7,2008,WD,Normal,235951
35,51,RL,64.05736831964082,13368,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1938,1948,Gable,CompShg,HdBoard,HdBoard,None,-24.803359392984657,TA,TA,CBlock,TA,TA,Gd,Rec,620,LwQ,136,-25,692,GasA,TA,Y,SBrkr,760,56,10,1065,1,0,1,1,3,2,TA,6,Typ,0,,BuiltIn,1960.2945712648589,Unf,1,-47,TA,TA,N,-41,-26,-8,-1,-8,4,,,,97,11,2006,WD,Normal,76811
36,72,RM,74.38114965459833,9393,Pave,,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1947,2007,Gable,CompShg,BrkFace,Wd Sdng,BrkFace,3.59907437355037,TA,TA,PConc,Gd,TA,No,Unf,829,Unf,-33,337,1036,GasA,Ex,Y,SBrkr,1637,-29,7,1568,0,1,2,0,3,1,Ex,7,Typ,0,,Detchd,1975.3759563986614,Unf,2,664,TA,TA,Y,192,21,172,1,-9,-9,,GdWo,,19,5,2009,WD,Normal,212046
37,65,RM,94.16452054885703,13349,Pave,,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,5,7,1941,2006,Hip,CompShg,VinylSd,HdBoard,None,44.3704658800749,TA,Gd,CBlock,TA,TA,No,BLQ,-470,Unf,-58,1413,591,GasA,Ex,Y,SBrkr,1050,548,7,1610,0,0,1,0,4,1,TA,8,Typ,1,Gd,Attchd,1921.9544591058043,Unf,1,214,Fa,TA,N,54,15,11,-6,5,-4,,GdWo,,64,9,2010,WD,Normal,120255
38,45,RL,,3143,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1Story,3,7,1899,1973,Gable,CompShg,HdBoard,HdBoard,None,6.435299617262847,TA,TA,CBlock,TA,TA,Gd,GLQ,807,Unf,512,-165,626,GasA,TA,Y,SBrkr,796,-150,9,684,1,0,1,0,2,1,TA,4,Typ,0,,,,,0,-23,,,N,164,-25,21,-2,-16,14,,MnPrv,,108,10,2009,WD,Normal,39246
39,24,RL,93.75376692873986,10545,Pave,,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,7,6,1987,1995,Hip,CompShg,HdBoard,HdBoard,BrkFace,187.15799037325067,TA,TA,CBlock,Gd,TA,No,GLQ,657,Unf,-4,620,1273,GasA,Ex,Y,SBrkr,1420,77,-2,1709,0,0,1,0,4,1,TA,8,Typ,1,Gd,Attchd,1976.8034014461846,RFn,2,545,TA,TA,Y,24,-10,6,3,9,17,,,,40,3,2006,WD,Normal,165743
40,48,RL,57.19386751644577,5854,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,1915,1966,Gable,CompShg,HdBoard,HdBoard,None,111.05495611381812,TA,TA,CBlock,TA,TA,No,Unf,435,Unf,-48,688,758,GasA,TA,Y,SBrkr,893,5,11,1215,0,0,2,0,3,1,TA,6,Typ,0,,Detchd,1950.4434457085897,Unf,2,464,TA,TA,Y,-32,74,14,8,-8,0,,,,51,11,2010,WD,Normal,100251
41,51,RL,44.49657095293008,9871,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,1Story,4,4,1987,1968,Gable,CompShg,Plywood,Plywood,BrkFace,,TA,TA,CBlock,TA,TA,No,GLQ,833,Rec,54,250,1141,GasA,TA,Y,SBrkr,1320,-63,-3,1144,1,0,1,0,2,1,TA,5,Typ,0,,Detchd,1989.738355563715,Unf,2,577,TA,TA,Y,145,15,24,0,0,10,,,,-47,5,2009,WD,Normal,124753
42,89,RL,66.01746471793781,8959,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,6,1968,1967,Gable,CompShg,MetalSd,Wd Sdng,None,0.34838109653719085,TA,TA,PConc,Gd,TA,No,GLQ,700,Unf,-84,359,718,GasA,Ex,Y,FuseF,756,748,21,1561,0,0,1,1,2,1,TA,6,Typ,1,Gd,Attchd,1976.2094363855958,RFn,1,262,TA,TA,Y,43,0,13,1,2,-5,,,,-244,1,2006,WD,Normal,158953
43,80,FV,81.99048829578489,8199,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2015,2010,Gable,CompShg,VinylSd,VinylSd,Stone,299.95433306483113,Gd,TA,PConc,Gd,TA,No,GLQ,-214,Unf,-54,1697,1188,GasA,Ex,Y,FuseA,1692,898,2,2552,0,0,2,1,3,1,Gd,8,Typ,1,Gd,BuiltIn,,RFn,2,479,TA,TA,Y,-33,266,-22,8,-11,-7,,,,-82,6,2010,New,Partial,354623
44,24,RL,99.85287743240949,11071,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,1957,2002,Gable,CompShg,VinylSd,VinylSd,None,-16.032116020393556,TA,TA,BrkTil,Ex,TA,Gd,GLQ,949,Unf,-39,712,1365,GasA,Gd,Y,SBrkr,1486,700,3,1771,1,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1982.784398670467,Fin,2,371,TA,TA,Y,387,-25,20,-18,-2,8,,,,-34,1,2009,WD,Normal,246929
45,70,RL,19.629473996557408,5142,Pave,,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,Duplex,1.5Fin,5,5,1955,2003,Gable,CompShg,MetalSd,MetalSd,None,-61.89165241678288,Gd,TA,BrkTil,TA,TA,No,Unf,-273,Unf,-42,1523,887,GasA,TA,Y,SBrkr,809,900,1,1594,0,0,2,0,4,1,Gd,8,Typ,0,,Detchd,1953.7416844073127,Unf,1,-9,Fa,,Y,-3,4,18,-2,0,6,,,,-64,6,2009,WD,Partial,104157
46,150,RM,46.951752360980706,7476,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,Duplex,1.5Fin,5,5,1915,1955,Gable,CompShg,MetalSd,MetalSd,Stone,351.2615047661303,TA,TA,CBlock,TA,TA,Av,BLQ,425,LwQ,14,97,608,GasA,Gd,Y,SBrkr,930,76,9,1079,0,0,1,0,3,2,TA,7,Typ,1,,Detchd,1943.1484353401208,Unf,1,249,TA,TA,N,-4,15,7,1,1,-8,,,,33,8,2006,WD,Normal,117627
